t_in,px_in,rsi_in,t_out,px_out,pnl,reason,rsi_out
2025-06-02 17:51:00+02:00,5917.5,45.10027415378866,2025-06-02 18:15:00+02:00,5925.0,-7.5,SL,64.05684299708363
2025-06-03 18:00:00+02:00,5982.25,31.994340340959624,2025-06-03 18:03:00+02:00,5972.25,10.0,TP,32.97267596351877
2025-06-03 19:15:00+02:00,5980.25,46.36553130192827,2025-06-04 14:30:00+02:00,5987.75,-7.5,SL,77.66020858766703
2025-06-04 18:51:00+02:00,5991.25,38.97562853659278,2025-06-04 19:51:00+02:00,5981.25,10.0,TP,32.63619791831701
2025-06-05 16:24:00+02:00,5994.25,45.52057847245476,2025-06-05 16:45:00+02:00,5984.25,10.0,TP,23.18376514702831
2025-06-06 19:24:00+02:00,6009.0,50.83982790848593,2025-06-09 14:30:00+02:00,6016.5,-7.5,SL,66.11927341704174
2025-06-09 18:45:00+02:00,6022.0,50.451101320355605,2025-06-09 20:00:00+02:00,6012.0,10.0,TP,31.308750554773212
2025-06-10 17:42:00+02:00,6030.25,47.13292558649354,2025-06-10 18:00:00+02:00,6020.25,10.0,TP,27.544296782892047
2025-06-10 19:51:00+02:00,6033.75,49.72601865112665,2025-06-10 19:54:00+02:00,6041.25,-7.5,SL,61.392509253483254
2025-06-12 18:27:00+02:00,6043.5,40.67004572117421,2025-06-12 20:00:00+02:00,6051.0,-7.5,SL,62.925403842823215
2025-06-12 20:33:00+02:00,6043.75,47.28080459327055,2025-06-13 14:30:00+02:00,6033.75,10.0,TP,5.624316217320526
2025-06-13 16:45:00+02:00,6017.25,42.9302151644622,2025-06-13 16:57:00+02:00,6024.75,-7.5,SL,52.209878192138014
2025-06-13 17:06:00+02:00,6018.5,42.08366141592069,2025-06-13 17:15:00+02:00,6008.5,10.0,TP,31.86289176069002
2025-06-24 20:00:00+02:00,6147.25,32.100614823615075,2025-06-25 14:30:00+02:00,6154.75,-7.5,SL,68.10392600038334
2025-06-26 18:54:00+02:00,6189.75,41.861396365132634,2025-06-26 19:51:00+02:00,6197.25,-7.5,SL,67.02879156626838
2025-06-26 20:15:00+02:00,6190.75,45.60050976028649,2025-06-26 22:00:00+02:00,6198.25,-7.5,SL,58.25541009573594
2025-06-27 17:06:00+02:00,6232.25,48.61342317370393,2025-06-27 17:45:00+02:00,6222.25,10.0,TP,23.43774708068547
2025-06-30 20:21:00+02:00,6247.0,46.86575657438459,2025-07-01 14:45:00+02:00,6237.0,10.0,TP,28.942137407788977
2025-07-01 20:00:00+02:00,6249.75,38.940519278212854,2025-07-02 14:30:00+02:00,6257.25,-7.5,SL,75.51987711431893
